91895,24.00,62.90,2544,Bright,0.34,-0.15,9.87,-0.08,0.02,-0.01,NOMINAL
92898,24.00,62.90,2033,Bright,0.34,-0.14,9.82,-0.08,0.02,-0.01,NOMINAL
93907,24.10,62.90,1583,Light,2.88,-0.45,9.52,-0.01,0.04,-0.03,NOMINAL
94910,24.10,62.90,1363,Light,2.27,-0.90,9.51,-0.14,0.13,-0.02,NOMINAL
95919,24.10,62.80,1630,Light,0.05,1.22,9.60,-0.11,0.09,-0.07,NOMINAL
96922,24.10,62.80,1578,Light,-1.23,0.51,9.95,-0.27,0.10,-1.03,NOMINAL
97931,24.00,62.90,1719,Light,0.96,-0.52,9.79,-0.18,0.02,0.10,NOMINAL
98934,24.00,62.90,1642,Light,1.02,-0.98,9.83,-0.13,-0.03,-0.02,NOMINAL
99943,24.10,63.00,1686,Light,-4.11,1.50,8.68,-0.17,-0.00,-0.08,NOMINAL
100946,24.10,63.00,1923,Light,-3.03,-1.54,9.56,-1.71,-1.20,2.17,NOMINAL
101955,24.00,63.00,1148,Light,0.15,-1.66,9.70,-0.12,0.04,-0.01,NOMINAL
102958,24.00,63.00,1287,Light,-0.74,-1.54,8.90,0.94,1.77,-2.35,NOMINAL
103967,24.00,63.00,1958,Light,-3.73,0.50,8.95,-0.06,-0.11,-0.09,NOMINAL
104970,24.00,63.00,2544,Bright,-1.03,-3.48,9.52,-0.46,-0.89,1.07,NOMINAL
105979,24.00,62.90,2754,Bright,-0.85,0.35,9.11,-0.06,0.07,-0.10,NOMINAL
106982,24.00,62.90,2318,Bright,1.36,2.40,10.28,-0.16,-0.16,0.51,NOMINAL
107991,24.10,62.80,995,Light,0.68,0.07,9.78,0.16,-0.02,-0.09,NOMINAL
108994,24.10,62.80,1349,Light,-0.28,-1.80,10.20,-0.13,-0.06,-0.28,NOMINAL
110003,24.10,62.80,1325,Light,0.08,-6.38,10.52,0.24,-0.05,0.34,NOMINAL
111006,24.10,62.80,1277,Light,0.47,-5.60,10.98,-0.14,0.15,0.08,NOMINAL
112015,24.00,62.70,1363,Light,1.95,-5.35,9.02,-0.35,-0.72,0.44,NOMINAL
113018,24.00,62.70,1394,Light,1.67,-1.87,11.62,-0.13,-0.13,0.15,NOMINAL
114027,24.00,62.70,1987,Light,1.92,1.15,9.53,0.13,0.37,0.35,NOMINAL
115030,24.00,62.70,1793,Light,-0.08,-0.25,9.87,0.11,0.05,-0.02,NOMINAL
116039,24.00,62.70,2512,Bright,0.45,-0.18,9.84,-0.09,0.02,-0.01,NOMINAL
117042,24.00,62.70,2531,Bright,0.45,-0.24,9.82,-0.08,0.03,-0.01,NOMINAL
118051,24.00,62.60,2519,Bright,0.47,-0.23,9.82,-0.08,0.02,-0.01,NOMINAL
119054,24.00,62.60,2559,Bright,0.44,-0.26,9.84,-0.08,0.03,-0.01,NOMINAL
120064,24.30,71.30,2599,Bright,0.44,-0.20,9.84,-0.08,0.03,-0.01,NOMINAL
121067,24.30,71.30,2594,Bright,0.46,-0.24,9.83,-0.08,0.03,-0.01,NOMINAL
122076,24.50,81.60,2607,Bright,0.46,-0.19,9.86,-0.08,0.03,-0.01,NOMINAL
123079,24.50,81.60,2603,Bright,0.48,-0.25,9.82,-0.08,0.03,-0.01,NOMINAL
124089,24.50,87.80,2655,Bright,0.45,-0.22,9.84,-0.08,0.02,-0.01,NOMINAL
125092,24.50,87.80,2657,Bright,0.47,-0.24,9.82,-0.08,0.02,-0.01,NOMINAL
126101,24.50,91.80,2607,Bright,0.47,-0.23,9.84,-0.09,0.02,-0.01,NOMINAL
127104,24.50,91.80,2420,Bright,0.48,-0.23,9.85,-0.08,0.03,-0.01,NOMINAL
128114,24.50,94.20,2430,Bright,0.48,-0.22,9.83,-0.08,0.02,-0.01,NOMINAL
129117,24.50,94.20,2416,Bright,0.45,-0.19,9.82,-0.08,0.03,-0.01,NOMINAL
130127,24.50,95.90,2403,Bright,0.45,-0.24,9.85,-0.08,0.02,-0.01,NOMINAL
131130,24.50,95.90,2397,Bright,0.42,-0.24,9.82,-0.08,0.03,-0.01,NOMINAL
132139,24.50,96.90,2384,Bright,0.43,-0.24,9.70,-0.08,0.03,-0.01,NOMINAL
133142,24.50,96.90,2353,Bright,0.34,-0.06,9.99,-0.02,0.08,-0.00,NOMINAL
134151,24.40,97.70,2368,Bright,0.39,-0.17,9.87,-0.08,0.03,-0.01,NOMINAL
135154,24.40,97.70,2359,Bright,0.45,-0.20,9.85,-0.08,0.02,-0.01,NOMINAL
136164,24.30,98.10,2341,Bright,0.39,-0.19,9.81,-0.08,0.02,-0.01,NOMINAL
137167,24.30,98.10,2338,Bright,0.44,-0.19,9.86,-0.08,0.02,-0.01,NOMINAL
138176,24.20,96.50,2325,Bright,0.44,-0.17,9.82,-0.08,0.03,-0.01,NOMINAL
139179,24.20,96.50,2318,Bright,0.40,-0.19,9.80,-0.08,0.03,-0.01,NOMINAL
140188,24.20,94.80,2293,Bright,0.42,-0.19,9.83,-0.08,0.02,-0.01,NOMINAL
141191,24.20,94.80,2288,Bright,0.43,-0.19,9.84,-0.08,0.03,-0.01,NOMINAL
142200,24.20,90.00,2287,Bright,0.43,-0.19,9.85,-0.08,0.02,-0.01,NOMINAL
143203,24.20,90.00,2272,Bright,0.45,-0.19,9.84,-0.08,0.03,-0.01,NOMINAL
144212,24.30,84.80,2255,Bright,0.42,-0.18,9.84,-0.08,0.02,-0.01,NOMINAL
145215,24.30,84.80,2255,Bright,0.39,-0.20,9.83,-0.08,0.02,-0.01,NOMINAL
146224,24.20,79.70,2224,Bright,0.40,-0.18,9.84,-0.08,0.02,-0.01,NOMINAL
147227,24.20,79.70,2224,Bright,0.37,-0.20,9.81,-0.09,0.03,-0.01,NOMINAL
148237,24.20,76.70,2190,Bright,0.43,-0.23,9.94,-0.10,0.02,-0.01,NOMINAL
149240,24.20,76.70,2192,Bright,0.38,-0.20,9.76,-0.08,0.02,-0.01,NOMINAL
150250,24.30,74.30,2177,Bright,0.22,-0.26,9.86,-0.09,0.01,-0.01,NOMINAL
151253,24.30,74.30,2153,Bright,0.35,-0.19,9.84,-0.08,0.02,-0.01,NOMINAL
152262,24.20,72.20,2143,Bright,0.38,-0.21,9.82,-0.10,0.03,-0.01,NOMINAL
153265,24.20,72.20,2143,Bright,0.43,-0.16,9.83,-0.08,0.03,-0.01,NOMINAL
154275,24.20,69.90,2102,Bright,0.39,-0.21,9.80,-0.09,0.02,-0.01,NOMINAL
155278,24.20,69.90,2096,Bright,0.43,-0.19,9.84,-0.08,0.02,-0.01,NOMINAL
156287,24.20,68.20,2091,Bright,0.44,-0.17,9.83,-0.08,0.03,-0.01,NOMINAL
157290,24.20,68.20,2061,Bright,0.40,-0.18,9.84,-0.08,0.03,-0.01,NOMINAL
158299,24.20,67.00,2055,Bright,0.40,-0.20,9.83,-0.08,0.03,-0.01,NOMINAL
159302,24.20,67.00,2038,Bright,0.42,-0.20,9.84,-0.08,0.02,-0.01,NOMINAL
160311,24.20,65.80,2019,Bright,0.46,-0.19,9.80,-0.08,0.02,-0.01,NOMINAL
161314,24.20,65.80,2010,Bright,0.39,-0.18,9.82,-0.08,0.03,-0.01,NOMINAL
162324,24.20,65.10,1987,Light,0.41,-0.20,9.84,-0.08,0.02,-0.01,NOMINAL
163327,24.20,65.10,1970,Light,0.42,-0.20,9.84,-0.08,0.02,-0.01,NOMINAL
164336,24.20,64.90,1938,Light,0.40,-0.17,9.81,-0.08,0.03,-0.01,NOMINAL
165339,24.20,64.90,1926,Light,0.35,-0.19,9.84,-0.07,0.03,-0.01,NOMINAL
166348,24.20,64.50,1910,Light,0.39,-0.19,9.82,-0.08,0.03,-0.01,NOMINAL
167351,24.20,64.50,1886,Light,0.46,-0.16,9.80,-0.08,0.02,-0.01,NOMINAL
168361,24.20,63.90,1879,Light,0.42,-0.19,9.84,-0.08,0.02,-0.01,NOMINAL
169364,24.20,63.90,1869,Light,0.44,-0.18,9.85,-0.08,0.02,-0.01,NOMINAL
170374,24.20,63.10,1802,Light,0.41,-0.21,9.84,-0.08,0.03,-0.01,NOMINAL
171377,24.20,63.10,1771,Light,0.40,-0.20,9.81,-0.08,0.03,-0.01,NOMINAL
172386,24.20,62.90,1773,Light,0.39,-0.21,9.83,-0.08,0.02,-0.01,NOMINAL
173389,24.20,62.90,1795,Light,0.43,-0.16,9.78,-0.08,0.03,-0.01,NOMINAL
174398,24.20,62.60,1776,Light,0.44,-0.17,9.82,-0.08,0.02,-0.01,NOMINAL
175401,24.20,62.60,1286,Light,0.41,-0.21,9.81,-0.08,0.03,-0.01,NOMINAL
176410,24.20,62.50,1707,Light,0.40,-0.21,9.83,-0.08,0.02,-0.01,NOMINAL
177413,24.20,62.50,1696,Light,0.44,-0.17,9.82,-0.08,0.02,-0.01,NOMINAL
178422,24.20,62.20,1665,Light,0.41,-0.19,9.84,-0.08,0.03,-0.01,NOMINAL
179425,24.20,62.20,1657,Light,0.42,-0.19,9.86,-0.08,0.02,-0.01,NOMINAL
180434,24.20,62.20,1621,Light,0.41,-0.18,9.82,-0.08,0.02,-0.01,NOMINAL
181437,24.20,62.20,1603,Light,0.42,-0.18,9.82,-0.08,0.02,-0.01,NOMINAL
182446,24.20,62.30,1153,Light,0.44,-0.18,9.85,-0.08,0.02,-0.01,NOMINAL
183449,24.20,62.30,1138,Light,0.43,-0.18,9.81,-0.08,0.03,-0.01,NOMINAL
184458,24.20,62.50,1631,Light,0.42,-0.18,9.84,-0.08,0.02,-0.01,NOMINAL
185461,24.20,62.50,1610,Light,0.41,-0.19,9.82,-0.08,0.02,-0.01,NOMINAL
186470,24.20,62.20,1590,Light,0.39,-0.19,9.82,-0.08,0.02,-0.01,NOMINAL
187473,24.20,62.20,1582,Light,0.40,-0.19,9.88,-0.08,0.02,-0.01,NOMINAL
188482,24.20,62.30,1566,Light,0.43,-0.20,9.81,-0.09,0.02,-0.01,NOMINAL
189485,24.20,62.30,1531,Light,0.41,-0.18,9.82,-0.08,0.02,-0.01,NOMINAL
190495,24.20,61.90,1521,Light,0.44,-0.19,9.86,-0.08,0.02,-0.01,NOMINAL
191498,24.20,61.90,1469,Light,0.43,-0.18,9.81,-0.08,0.02,-0.01,NOMINAL
192507,24.20,62.10,1439,Light,0.41,-0.20,9.81,-0.08,0.03,-0.01,NOMINAL
193510,24.20,62.10,1118,Light,0.41,-0.18,9.86,-0.08,0.02,-0.01,NOMINAL
194519,24.20,61.80,1462,Light,0.42,-0.19,9.82,-0.08,0.02,-0.01,NOMINAL
195522,24.20,61.80,1448,Light,0.42,-0.19,9.82,-0.08,0.02,-0.01,NOMINAL
196531,24.20,61.70,1422,Light,0.43,-0.20,9.83,-0.08,0.02,-0.01,NOMINAL
197534,24.20,61.70,1434,Light,0.44,-0.19,9.82,-0.08,0.03,-0.01,NOMINAL
198543,24.10,61.60,1417,Light,0.42,-0.17,9.81,-0.08,0.03,-0.01,NOMINAL
199546,24.10,61.60,1405,Light,0.45,-0.21,9.84,-0.09,0.02,-0.01,NOMINAL
